     n         h                l                k               nl               nk
   750  -0.54994158E+01   0.19385347E-02  -0.30561575E-02   0.14539010E+01  -0.22921181E+01
   751  -0.55015242E+01   0.19374059E-02  -0.30535457E-02   0.14549918E+01  -0.22932128E+01
   752  -0.55036272E+01   0.19362778E-02  -0.30509375E-02   0.14560809E+01  -0.22943050E+01
   753  -0.55057250E+01   0.19351503E-02  -0.30483331E-02   0.14571682E+01  -0.22953948E+01
   754  -0.55078174E+01   0.19340235E-02  -0.30457322E-02   0.14582537E+01  -0.22964821E+01
   755  -0.55099044E+01   0.19328973E-02  -0.30431351E-02   0.14593375E+01  -0.22975670E+01
   756  -0.55119863E+01   0.19317717E-02  -0.30405415E-02   0.14604194E+01  -0.22986494E+01
   757  -0.55140628E+01   0.19306468E-02  -0.30379516E-02   0.14614996E+01  -0.22997294E+01
   758  -0.55161340E+01   0.19295224E-02  -0.30353653E-02   0.14625780E+01  -0.23008069E+01
   759  -0.55182000E+01   0.19283987E-02  -0.30327826E-02   0.14636546E+01  -0.23018820E+01
   760  -0.55202607E+01   0.19272756E-02  -0.30302035E-02   0.14647295E+01  -0.23029547E+01
   761  -0.55223161E+01   0.19261531E-02  -0.30276280E-02   0.14658025E+01  -0.23040249E+01
   762  -0.55243664E+01   0.19250311E-02  -0.30250561E-02   0.14668737E+01  -0.23050927E+01
   763  -0.55264113E+01   0.19239098E-02  -0.30224877E-02   0.14679432E+01  -0.23061581E+01
   764  -0.55284511E+01   0.19227890E-02  -0.30199228E-02   0.14690108E+01  -0.23072210E+01
   765  -0.55304856E+01   0.19216689E-02  -0.30173615E-02   0.14700767E+01  -0.23082815E+01
   766  -0.55325150E+01   0.19205493E-02  -0.30148038E-02   0.14711408E+01  -0.23093397E+01
   767  -0.55345391E+01   0.19194303E-02  -0.30122495E-02   0.14722030E+01  -0.23103954E+01
   768  -0.55365581E+01   0.19183118E-02  -0.30096987E-02   0.14732635E+01  -0.23114486E+01
   769  -0.55385718E+01   0.19171939E-02  -0.30071515E-02   0.14743221E+01  -0.23124995E+01
   770  -0.55405804E+01   0.19160766E-02  -0.30046077E-02   0.14753790E+01  -0.23135479E+01
   771  -0.55425839E+01   0.19149598E-02  -0.30020674E-02   0.14764340E+01  -0.23145940E+01
   772  -0.55445822E+01   0.19138435E-02  -0.29995305E-02   0.14774872E+01  -0.23156375E+01
   773  -0.55465753E+01   0.19127278E-02  -0.29969971E-02   0.14785386E+01  -0.23166788E+01
   774  -0.55485633E+01   0.19116127E-02  -0.29944671E-02   0.14795882E+01  -0.23177175E+01
   775  -0.55505462E+01   0.19104981E-02  -0.29919406E-02   0.14806360E+01  -0.23187540E+01
   776  -0.55525239E+01   0.19093840E-02  -0.29894175E-02   0.14816820E+01  -0.23197880E+01
   777  -0.55544966E+01   0.19082704E-02  -0.29868978E-02   0.14827261E+01  -0.23208196E+01
   778  -0.55564641E+01   0.19071573E-02  -0.29843815E-02   0.14837684E+01  -0.23218488E+01
   779  -0.55584266E+01   0.19060448E-02  -0.29818686E-02   0.14848089E+01  -0.23228756E+01
   780  -0.55603840E+01   0.19049328E-02  -0.29793591E-02   0.14858476E+01  -0.23239001E+01
   781  -0.55623363E+01   0.19038213E-02  -0.29768530E-02   0.14868844E+01  -0.23249222E+01
   782  -0.55642835E+01   0.19027103E-02  -0.29743502E-02   0.14879195E+01  -0.23259419E+01
   783  -0.55662257E+01   0.19015998E-02  -0.29718507E-02   0.14889526E+01  -0.23269591E+01
   784  -0.55681628E+01   0.19004898E-02  -0.29693547E-02   0.14899840E+01  -0.23279741E+01
   785  -0.55700949E+01   0.18993803E-02  -0.29668619E-02   0.14910135E+01  -0.23289866E+01
   786  -0.55720220E+01   0.18982713E-02  -0.29643725E-02   0.14920412E+01  -0.23299968E+01
   787  -0.55739440E+01   0.18971627E-02  -0.29618864E-02   0.14930670E+01  -0.23310046E+01
   788  -0.55758611E+01   0.18960547E-02  -0.29594036E-02   0.14940911E+01  -0.23320100E+01
   789  -0.55777731E+01   0.18949471E-02  -0.29569240E-02   0.14951133E+01  -0.23330130E+01
   790  -0.55796802E+01   0.18938401E-02  -0.29544478E-02   0.14961337E+01  -0.23340138E+01
   791  -0.55815822E+01   0.18927334E-02  -0.29519749E-02   0.14971521E+01  -0.23350121E+01
   792  -0.55834793E+01   0.18916273E-02  -0.29495052E-02   0.14981688E+01  -0.23360081E+01
   793  -0.55853715E+01   0.18905216E-02  -0.29470388E-02   0.14991836E+01  -0.23370018E+01
   794  -0.55872586E+01   0.18894164E-02  -0.29445756E-02   0.15001966E+01  -0.23379930E+01
   795  -0.55891409E+01   0.18883117E-02  -0.29421157E-02   0.15012078E+01  -0.23389820E+01
   796  -0.55910182E+01   0.18872074E-02  -0.29396591E-02   0.15022171E+01  -0.23399686E+01
   797  -0.55928905E+01   0.18861036E-02  -0.29372056E-02   0.15032246E+01  -0.23409529E+01
   798  -0.55947580E+01   0.18850002E-02  -0.29347554E-02   0.15042302E+01  -0.23419348E+01
   799  -0.55966205E+01   0.18838973E-02  -0.29323083E-02   0.15052339E+01  -0.23429143E+01
   800  -0.55984781E+01   0.18827948E-02  -0.29298645E-02   0.15062358E+01  -0.23438916E+01
   801  -0.56003309E+01   0.18816928E-02  -0.29274239E-02   0.15072359E+01  -0.23448665E+01
   802  -0.56021787E+01   0.18805912E-02  -0.29249864E-02   0.15082341E+01  -0.23458391E+01
   803  -0.56040217E+01   0.18794901E-02  -0.29225522E-02   0.15092306E+01  -0.23468094E+01
   804  -0.56058598E+01   0.18783894E-02  -0.29201211E-02   0.15102251E+01  -0.23477774E+01
   805  -0.56076931E+01   0.18772891E-02  -0.29176931E-02   0.15112177E+01  -0.23487429E+01
   806  -0.56095215E+01   0.18761892E-02  -0.29152683E-02   0.15122085E+01  -0.23497062E+01
   807  -0.56113451E+01   0.18750898E-02  -0.29128467E-02   0.15131975E+01  -0.23506673E+01
   808  -0.56131638E+01   0.18739909E-02  -0.29104282E-02   0.15141846E+01  -0.23516260E+01
   809  -0.56149777E+01   0.18728923E-02  -0.29080128E-02   0.15151699E+01  -0.23525824E+01
   810  -0.56167869E+01   0.18717942E-02  -0.29056005E-02   0.15161533E+01  -0.23535364E+01
   811  -0.56185912E+01   0.18706965E-02  -0.29031914E-02   0.15171349E+01  -0.23544882E+01
   812  -0.56203907E+01   0.18695992E-02  -0.29007853E-02   0.15181146E+01  -0.23554377E+01
   813  -0.56221855E+01   0.18685023E-02  -0.28983824E-02   0.15190924E+01  -0.23563849E+01
   814  -0.56239754E+01   0.18674058E-02  -0.28959825E-02   0.15200683E+01  -0.23573298E+01
   815  -0.56257606E+01   0.18663098E-02  -0.28935857E-02   0.15210425E+01  -0.23582723E+01
   816  -0.56275411E+01   0.18652141E-02  -0.28911920E-02   0.15220147E+01  -0.23592127E+01
   817  -0.56293168E+01   0.18641189E-02  -0.28888014E-02   0.15229851E+01  -0.23601507E+01
   818  -0.56310878E+01   0.18630241E-02  -0.28864138E-02   0.15239537E+01  -0.23610865E+01
   819  -0.56328540E+01   0.18619297E-02  -0.28840292E-02   0.15249204E+01  -0.23620199E+01
   820  -0.56346155E+01   0.18608357E-02  -0.28816477E-02   0.15258853E+01  -0.23629511E+01
   821  -0.56363723E+01   0.18597420E-02  -0.28792693E-02   0.15268482E+01  -0.23638801E+01
   822  -0.56381245E+01   0.18586488E-02  -0.28768939E-02   0.15278093E+01  -0.23648068E+01
   823  -0.56398719E+01   0.18575560E-02  -0.28745215E-02   0.15287686E+01  -0.23657312E+01
   824  -0.56416146E+01   0.18564636E-02  -0.28721521E-02   0.15297260E+01  -0.23666533E+01
   825  -0.56433527E+01   0.18553716E-02  -0.28697857E-02   0.15306816E+01  -0.23675732E+01
   826  -0.56450861E+01   0.18542799E-02  -0.28674223E-02   0.15316352E+01  -0.23684908E+01
   827  -0.56468149E+01   0.18531887E-02  -0.28650619E-02   0.15325871E+01  -0.23694062E+01
   828  -0.56485390E+01   0.18520979E-02  -0.28627045E-02   0.15335371E+01  -0.23703193E+01
   829  -0.56502584E+01   0.18510074E-02  -0.28603501E-02   0.15344851E+01  -0.23712302E+01
   830  -0.56519733E+01   0.18499173E-02  -0.28579986E-02   0.15354314E+01  -0.23721388E+01
   831  -0.56536835E+01   0.18488276E-02  -0.28556502E-02   0.15363757E+01  -0.23730453E+01
   832  -0.56553891E+01   0.18477384E-02  -0.28533046E-02   0.15373183E+01  -0.23739494E+01
   833  -0.56570901E+01   0.18466494E-02  -0.28509621E-02   0.15382590E+01  -0.23748514E+01
   834  -0.56587866E+01   0.18455609E-02  -0.28486224E-02   0.15391978E+01  -0.23757511E+01
   835  -0.56604784E+01   0.18444728E-02  -0.28462858E-02   0.15401348E+01  -0.23766486E+01
   836  -0.56621657E+01   0.18433850E-02  -0.28439520E-02   0.15410699E+01  -0.23775439E+01
   837  -0.56638484E+01   0.18422976E-02  -0.28416212E-02   0.15420031E+01  -0.23784369E+01
   838  -0.56655266E+01   0.18412106E-02  -0.28392933E-02   0.15429345E+01  -0.23793278E+01
   839  -0.56672002E+01   0.18401239E-02  -0.28369683E-02   0.15438640E+01  -0.23802164E+01
   840  -0.56688693E+01   0.18390377E-02  -0.28346462E-02   0.15447917E+01  -0.23811028E+01
   841  -0.56705338E+01   0.18379518E-02  -0.28323270E-02   0.15457175E+01  -0.23819870E+01
   842  -0.56721939E+01   0.18368663E-02  -0.28300107E-02   0.15466414E+01  -0.23828690E+01
   843  -0.56738494E+01   0.18357811E-02  -0.28276973E-02   0.15475635E+01  -0.23837488E+01
   844  -0.56755004E+01   0.18346964E-02  -0.28253867E-02   0.15484838E+01  -0.23846264E+01
   845  -0.56771470E+01   0.18336120E-02  -0.28230791E-02   0.15494021E+01  -0.23855018E+01
   846  -0.56787890E+01   0.18325279E-02  -0.28207743E-02   0.15503186E+01  -0.23863751E+01
   847  -0.56804266E+01   0.18314443E-02  -0.28184724E-02   0.15512333E+01  -0.23872461E+01
   848  -0.56820597E+01   0.18303610E-02  -0.28161733E-02   0.15521461E+01  -0.23881150E+01
   849  -0.56836884E+01   0.18292781E-02  -0.28138771E-02   0.15530571E+01  -0.23889817E+01
   850  -0.56853127E+01   0.18281955E-02  -0.28115837E-02   0.15539662E+01  -0.23898461E+01
   851  -0.56869325E+01   0.18271133E-02  -0.28092932E-02   0.15548734E+01  -0.23907085E+01
   852  -0.56885478E+01   0.18260315E-02  -0.28070055E-02   0.15557788E+01  -0.23915687E+01
   853  -0.56901588E+01   0.18249501E-02  -0.28047206E-02   0.15566824E+01  -0.23924267E+01
   854  -0.56917653E+01   0.18238690E-02  -0.28024385E-02   0.15575841E+01  -0.23932825E+01
   855  -0.56933675E+01   0.18227882E-02  -0.28001593E-02   0.15584839E+01  -0.23941362E+01
   856  -0.56949653E+01   0.18217079E-02  -0.27978829E-02   0.15593820E+01  -0.23949878E+01
   857  -0.56965586E+01   0.18206279E-02  -0.27956092E-02   0.15602781E+01  -0.23958371E+01
   858  -0.56981477E+01   0.18195482E-02  -0.27933384E-02   0.15611724E+01  -0.23966843E+01
   859  -0.56997323E+01   0.18184690E-02  -0.27910703E-02   0.15620649E+01  -0.23975294E+01
   860  -0.57013126E+01   0.18173900E-02  -0.27888051E-02   0.15629554E+01  -0.23983724E+01
   861  -0.57028886E+01   0.18163115E-02  -0.27865426E-02   0.15638442E+01  -0.23992132E+01
   862  -0.57044602E+01   0.18152333E-02  -0.27842829E-02   0.15647311E+01  -0.24000519E+01
   863  -0.57060275E+01   0.18141555E-02  -0.27820260E-02   0.15656162E+01  -0.24008884E+01
   864  -0.57075905E+01   0.18130780E-02  -0.27797718E-02   0.15664994E+01  -0.24017228E+01
   865  -0.57091492E+01   0.18120009E-02  -0.27775204E-02   0.15673808E+01  -0.24025551E+01
   866  -0.57107035E+01   0.18109241E-02  -0.27752717E-02   0.15682603E+01  -0.24033853E+01
   867  -0.57122536E+01   0.18098477E-02  -0.27730258E-02   0.15691380E+01  -0.24042134E+01
   868  -0.57137995E+01   0.18087717E-02  -0.27707826E-02   0.15700138E+01  -0.24050393E+01
   869  -0.57153410E+01   0.18076960E-02  -0.27685421E-02   0.15708878E+01  -0.24058631E+01
   870  -0.57168783E+01   0.18066207E-02  -0.27663044E-02   0.15717600E+01  -0.24066848E+01
   871  -0.57184113E+01   0.18055458E-02  -0.27640694E-02   0.15726304E+01  -0.24075044E+01
   872  -0.57199401E+01   0.18044712E-02  -0.27618372E-02   0.15734989E+01  -0.24083220E+01
   873  -0.57214646E+01   0.18033969E-02  -0.27596076E-02   0.15743655E+01  -0.24091374E+01
   874  -0.57229850E+01   0.18023230E-02  -0.27573808E-02   0.15752303E+01  -0.24099508E+01
   875  -0.57245011E+01   0.18012495E-02  -0.27551566E-02   0.15760933E+01  -0.24107620E+01
   876  -0.57260130E+01   0.18001763E-02  -0.27529352E-02   0.15769544E+01  -0.24115712E+01
   877  -0.57275207E+01   0.17991035E-02  -0.27507164E-02   0.15778138E+01  -0.24123783E+01
   878  -0.57290242E+01   0.17980311E-02  -0.27485003E-02   0.15786713E+01  -0.24131833E+01
   879  -0.57305236E+01   0.17969590E-02  -0.27462870E-02   0.15795270E+01  -0.24139863E+01
   880  -0.57320187E+01   0.17958873E-02  -0.27440763E-02   0.15803808E+01  -0.24147871E+01
   881  -0.57335097E+01   0.17948159E-02  -0.27418682E-02   0.15812328E+01  -0.24155859E+01
   882  -0.57349966E+01   0.17937449E-02  -0.27396629E-02   0.15820830E+01  -0.24163827E+01
   883  -0.57364793E+01   0.17926742E-02  -0.27374601E-02   0.15829313E+01  -0.24171773E+01
   884  -0.57379579E+01   0.17916039E-02  -0.27352601E-02   0.15837778E+01  -0.24179699E+01
   885  -0.57394323E+01   0.17905340E-02  -0.27330627E-02   0.15846226E+01  -0.24187605E+01
   886  -0.57409027E+01   0.17894644E-02  -0.27308680E-02   0.15854655E+01  -0.24195490E+01
   887  -0.57423689E+01   0.17883951E-02  -0.27286759E-02   0.15863065E+01  -0.24203355E+01
   888  -0.57438310E+01   0.17873263E-02  -0.27264864E-02   0.15871458E+01  -0.24211199E+01
   889  -0.57452891E+01   0.17862578E-02  -0.27242996E-02   0.15879832E+01  -0.24219023E+01
   890  -0.57467430E+01   0.17851896E-02  -0.27221154E-02   0.15888187E+01  -0.24226827E+01
   891  -0.57481929E+01   0.17841218E-02  -0.27199338E-02   0.15896525E+01  -0.24234610E+01
   892  -0.57496387E+01   0.17830544E-02  -0.27177548E-02   0.15904845E+01  -0.24242373E+01
   893  -0.57510805E+01   0.17819873E-02  -0.27155785E-02   0.15913147E+01  -0.24250116E+01
   894  -0.57525182E+01   0.17809206E-02  -0.27134047E-02   0.15921430E+01  -0.24257838E+01
   895  -0.57539519E+01   0.17798543E-02  -0.27112336E-02   0.15929696E+01  -0.24265541E+01
   896  -0.57553816E+01   0.17787883E-02  -0.27090651E-02   0.15937943E+01  -0.24273223E+01
   897  -0.57568072E+01   0.17777227E-02  -0.27068991E-02   0.15946173E+01  -0.24280885E+01
   898  -0.57582289E+01   0.17766574E-02  -0.27047358E-02   0.15954383E+01  -0.24288527E+01
   899  -0.57596465E+01   0.17755925E-02  -0.27025750E-02   0.15962577E+01  -0.24296149E+01
   900  -0.57610602E+01   0.17745280E-02  -0.27004169E-02   0.15970752E+01  -0.24303752E+01
   901  -0.57624698E+01   0.17734638E-02  -0.26982613E-02   0.15978909E+01  -0.24311334E+01
   902  -0.57638755E+01   0.17724000E-02  -0.26961082E-02   0.15987048E+01  -0.24318896E+01
   903  -0.57652772E+01   0.17713365E-02  -0.26939578E-02   0.15995169E+01  -0.24326439E+01
   904  -0.57666750E+01   0.17702734E-02  -0.26918099E-02   0.16003272E+01  -0.24333961E+01
   905  -0.57680688E+01   0.17692107E-02  -0.26896645E-02   0.16011357E+01  -0.24341464E+01
   906  -0.57694587E+01   0.17681484E-02  -0.26875218E-02   0.16019425E+01  -0.24348948E+01
   907  -0.57708447E+01   0.17670864E-02  -0.26853815E-02   0.16027474E+01  -0.24356410E+01
   908  -0.57722267E+01   0.17660247E-02  -0.26832438E-02   0.16035504E+01  -0.24363854E+01
   909  -0.57736048E+01   0.17649635E-02  -0.26811087E-02   0.16043518E+01  -0.24371278E+01
   910  -0.57749791E+01   0.17639026E-02  -0.26789761E-02   0.16051514E+01  -0.24378683E+01
   911  -0.57763494E+01   0.17628421E-02  -0.26768460E-02   0.16059492E+01  -0.24386067E+01
   912  -0.57777158E+01   0.17617819E-02  -0.26747185E-02   0.16067451E+01  -0.24393433E+01
   913  -0.57790784E+01   0.17607221E-02  -0.26725934E-02   0.16075393E+01  -0.24400778E+01
   914  -0.57804371E+01   0.17596627E-02  -0.26704709E-02   0.16083317E+01  -0.24408104E+01
   915  -0.57817919E+01   0.17586037E-02  -0.26683510E-02   0.16091224E+01  -0.24415412E+01
   916  -0.57831429E+01   0.17575450E-02  -0.26662335E-02   0.16099112E+01  -0.24422699E+01
   917  -0.57844901E+01   0.17564867E-02  -0.26641185E-02   0.16106983E+01  -0.24429967E+01
   918  -0.57858334E+01   0.17554288E-02  -0.26620060E-02   0.16114836E+01  -0.24437215E+01
   919  -0.57871729E+01   0.17543712E-02  -0.26598961E-02   0.16122671E+01  -0.24444445E+01
   920  -0.57885086E+01   0.17533140E-02  -0.26577886E-02   0.16130489E+01  -0.24451655E+01
   921  -0.57898405E+01   0.17522572E-02  -0.26556836E-02   0.16138289E+01  -0.24458846E+01
   922  -0.57911686E+01   0.17512008E-02  -0.26535811E-02   0.16146071E+01  -0.24466018E+01
   923  -0.57924928E+01   0.17501447E-02  -0.26514811E-02   0.16153836E+01  -0.24473171E+01
   924  -0.57938134E+01   0.17490890E-02  -0.26493836E-02   0.16161582E+01  -0.24480304E+01
   925  -0.57951301E+01   0.17480337E-02  -0.26472885E-02   0.16169312E+01  -0.24487419E+01
   926  -0.57964431E+01   0.17469788E-02  -0.26451960E-02   0.16177024E+01  -0.24494515E+01
   927  -0.57977523E+01   0.17459242E-02  -0.26431058E-02   0.16184717E+01  -0.24501591E+01
   928  -0.57990578E+01   0.17448700E-02  -0.26410182E-02   0.16192394E+01  -0.24508649E+01
   929  -0.58003595E+01   0.17438162E-02  -0.26389330E-02   0.16200052E+01  -0.24515688E+01
   930  -0.58016575E+01   0.17427628E-02  -0.26368502E-02   0.16207694E+01  -0.24522707E+01
   931  -0.58029518E+01   0.17417098E-02  -0.26347699E-02   0.16215318E+01  -0.24529708E+01
   932  -0.58042424E+01   0.17406571E-02  -0.26326921E-02   0.16222924E+01  -0.24536690E+01
   933  -0.58055293E+01   0.17396049E-02  -0.26306167E-02   0.16230514E+01  -0.24543654E+01
   934  -0.58068125E+01   0.17385530E-02  -0.26285437E-02   0.16238085E+01  -0.24550598E+01
   935  -0.58080920E+01   0.17375015E-02  -0.26264732E-02   0.16245639E+01  -0.24557524E+01
   936  -0.58093679E+01   0.17364504E-02  -0.26244051E-02   0.16253176E+01  -0.24564432E+01
   937  -0.58106400E+01   0.17353996E-02  -0.26223394E-02   0.16260694E+01  -0.24571320E+01
   938  -0.58119085E+01   0.17343493E-02  -0.26202762E-02   0.16268196E+01  -0.24578191E+01
   939  -0.58131734E+01   0.17332993E-02  -0.26182153E-02   0.16275680E+01  -0.24585042E+01
   940  -0.58144346E+01   0.17322497E-02  -0.26161569E-02   0.16283147E+01  -0.24591875E+01
   941  -0.58156922E+01   0.17312006E-02  -0.26141009E-02   0.16290598E+01  -0.24598689E+01
   942  -0.58169461E+01   0.17301518E-02  -0.26120473E-02   0.16298030E+01  -0.24605486E+01
   943  -0.58181965E+01   0.17291034E-02  -0.26099961E-02   0.16305445E+01  -0.24612263E+01
   944  -0.58194432E+01   0.17280553E-02  -0.26079473E-02   0.16312842E+01  -0.24619023E+01
   945  -0.58206864E+01   0.17270077E-02  -0.26059010E-02   0.16320223E+01  -0.24625764E+01
   946  -0.58219259E+01   0.17259605E-02  -0.26038570E-02   0.16327586E+01  -0.24632487E+01
   947  -0.58231619E+01   0.17249137E-02  -0.26018154E-02   0.16334933E+01  -0.24639192E+01
   948  -0.58243943E+01   0.17238672E-02  -0.25997761E-02   0.16342261E+01  -0.24645877E+01
   949  -0.58256231E+01   0.17228212E-02  -0.25977393E-02   0.16349573E+01  -0.24652546E+01
   950  -0.58268484E+01   0.17217755E-02  -0.25957048E-02   0.16356867E+01  -0.24659196E+01
   951  -0.58280701E+01   0.17207303E-02  -0.25936728E-02   0.16364145E+01  -0.24665828E+01
   952  -0.58292883E+01   0.17196854E-02  -0.25916430E-02   0.16371405E+01  -0.24672441E+01
   953  -0.58305029E+01   0.17186410E-02  -0.25896157E-02   0.16378649E+01  -0.24679038E+01
   954  -0.58317141E+01   0.17175970E-02  -0.25875907E-02   0.16385875E+01  -0.24685615E+01
   955  -0.58329217E+01   0.17165533E-02  -0.25855681E-02   0.16393084E+01  -0.24692175E+01
   956  -0.58341258E+01   0.17155101E-02  -0.25835478E-02   0.16400277E+01  -0.24698717E+01
   957  -0.58353264E+01   0.17144672E-02  -0.25815299E-02   0.16407451E+01  -0.24705241E+01
   958  -0.58365235E+01   0.17134248E-02  -0.25795144E-02   0.16414610E+01  -0.24711748E+01
   959  -0.58377172E+01   0.17123828E-02  -0.25775012E-02   0.16421751E+01  -0.24718237E+01
   960  -0.58389074E+01   0.17113411E-02  -0.25754903E-02   0.16428875E+01  -0.24724707E+01
   961  -0.58400941E+01   0.17102999E-02  -0.25734818E-02   0.16435982E+01  -0.24731160E+01
   962  -0.58412773E+01   0.17092591E-02  -0.25714756E-02   0.16443073E+01  -0.24737595E+01
   963  -0.58424571E+01   0.17082187E-02  -0.25694717E-02   0.16450146E+01  -0.24744012E+01
   964  -0.58436335E+01   0.17071787E-02  -0.25674702E-02   0.16457203E+01  -0.24750413E+01
   965  -0.58448065E+01   0.17061391E-02  -0.25654710E-02   0.16464242E+01  -0.24756795E+01
   966  -0.58459760E+01   0.17051000E-02  -0.25634741E-02   0.16471266E+01  -0.24763160E+01
   967  -0.58471421E+01   0.17040612E-02  -0.25614796E-02   0.16478272E+01  -0.24769508E+01
   968  -0.58483048E+01   0.17030229E-02  -0.25594873E-02   0.16485262E+01  -0.24775837E+01
   969  -0.58494641E+01   0.17019850E-02  -0.25574974E-02   0.16492235E+01  -0.24782150E+01
   970  -0.58506200E+01   0.17009475E-02  -0.25555098E-02   0.16499191E+01  -0.24788445E+01
   971  -0.58517725E+01   0.16999104E-02  -0.25535245E-02   0.16506130E+01  -0.24794723E+01
   972  -0.58529217E+01   0.16988737E-02  -0.25515415E-02   0.16513052E+01  -0.24800983E+01
   973  -0.58540675E+01   0.16978374E-02  -0.25495608E-02   0.16519958E+01  -0.24807227E+01
   974  -0.58552099E+01   0.16968016E-02  -0.25475824E-02   0.16526848E+01  -0.24813453E+01
   975  -0.58563490E+01   0.16957662E-02  -0.25456062E-02   0.16533720E+01  -0.24819660E+01
   976  -0.58574847E+01   0.16947312E-02  -0.25436324E-02   0.16540577E+01  -0.24825852E+01
   977  -0.58586172E+01   0.16936966E-02  -0.25416609E-02   0.16547416E+01  -0.24832027E+01
   978  -0.58597463E+01   0.16926625E-02  -0.25396916E-02   0.16554239E+01  -0.24838184E+01
   979  -0.58608720E+01   0.16916288E-02  -0.25377246E-02   0.16561046E+01  -0.24844324E+01
   980  -0.58619945E+01   0.16905955E-02  -0.25357599E-02   0.16567836E+01  -0.24850447E+01
   981  -0.58631137E+01   0.16895626E-02  -0.25337975E-02   0.16574609E+01  -0.24856553E+01
   982  -0.58642296E+01   0.16885302E-02  -0.25318373E-02   0.16581367E+01  -0.24862642E+01
   983  -0.58653422E+01   0.16874982E-02  -0.25298794E-02   0.16588107E+01  -0.24868715E+01
   984  -0.58664515E+01   0.16864666E-02  -0.25279238E-02   0.16594831E+01  -0.24874770E+01
   985  -0.58675576E+01   0.16854355E-02  -0.25259704E-02   0.16601540E+01  -0.24880808E+01
   986  -0.58686604E+01   0.16844048E-02  -0.25240193E-02   0.16608231E+01  -0.24886830E+01
   987  -0.58697599E+01   0.16833745E-02  -0.25220704E-02   0.16614906E+01  -0.24892835E+01
   988  -0.58708562E+01   0.16823447E-02  -0.25201238E-02   0.16621566E+01  -0.24898823E+01
   989  -0.58719493E+01   0.16813153E-02  -0.25181795E-02   0.16628208E+01  -0.24904795E+01
   990  -0.58730391E+01   0.16802863E-02  -0.25162374E-02   0.16634834E+01  -0.24910750E+01
   991  -0.58741258E+01   0.16792578E-02  -0.25142975E-02   0.16641445E+01  -0.24916688E+01
   992  -0.58752092E+01   0.16782297E-02  -0.25123598E-02   0.16648039E+01  -0.24922609E+01
   993  -0.58762894E+01   0.16772020E-02  -0.25104244E-02   0.16654616E+01  -0.24928514E+01
   994  -0.58773664E+01   0.16761748E-02  -0.25084913E-02   0.16661178E+01  -0.24934404E+01
   995  -0.58784403E+01   0.16751480E-02  -0.25065603E-02   0.16667723E+01  -0.24940275E+01
   996  -0.58795109E+01   0.16741217E-02  -0.25046316E-02   0.16674252E+01  -0.24946131E+01
   997  -0.58805784E+01   0.16730958E-02  -0.25027051E-02   0.16680765E+01  -0.24951970E+01
   998  -0.58816427E+01   0.16720704E-02  -0.25007809E-02   0.16687263E+01  -0.24957793E+01
   999  -0.58827039E+01   0.16710454E-02  -0.24988588E-02   0.16693744E+01  -0.24963599E+01
  1000  -0.58837619E+01   0.16700209E-02  -0.24969390E-02   0.16700209E+01  -0.24969390E+01
  1001  -0.58848168E+01   0.16689968E-02  -0.24950213E-02   0.16706658E+01  -0.24975163E+01
  1002  -0.58858686E+01   0.16679732E-02  -0.24931059E-02   0.16713091E+01  -0.24980921E+01
  1003  -0.58869172E+01   0.16669500E-02  -0.24911927E-02   0.16719508E+01  -0.24986663E+01
  1004  -0.58879627E+01   0.16659272E-02  -0.24892817E-02   0.16725909E+01  -0.24992388E+01
  1005  -0.58890051E+01   0.16649049E-02  -0.24873729E-02   0.16732294E+01  -0.24998098E+01
  1006  -0.58900444E+01   0.16638831E-02  -0.24854663E-02   0.16738664E+01  -0.25003791E+01
  1007  -0.58910807E+01   0.16628617E-02  -0.24835619E-02   0.16745017E+01  -0.25009468E+01
  1008  -0.58921138E+01   0.16618408E-02  -0.24816596E-02   0.16751355E+01  -0.25015129E+01
  1009  -0.58931439E+01   0.16608204E-02  -0.24797596E-02   0.16757678E+01  -0.25020774E+01
  1010  -0.58941708E+01   0.16598004E-02  -0.24778617E-02   0.16763984E+01  -0.25026403E+01
  1011  -0.58951948E+01   0.16587808E-02  -0.24759660E-02   0.16770274E+01  -0.25032016E+01
  1012  -0.58962156E+01   0.16577617E-02  -0.24740725E-02   0.16776548E+01  -0.25037614E+01
  1013  -0.58972335E+01   0.16567431E-02  -0.24721812E-02   0.16782808E+01  -0.25043196E+01
  1014  -0.58982483E+01   0.16557250E-02  -0.24702920E-02   0.16789052E+01  -0.25048761E+01
  1015  -0.58992600E+01   0.16547073E-02  -0.24684051E-02   0.16795279E+01  -0.25054312E+01
  1016  -0.59002688E+01   0.16536901E-02  -0.24665202E-02   0.16801491E+01  -0.25059845E+01
  1017  -0.59012745E+01   0.16526733E-02  -0.24646376E-02   0.16807687E+01  -0.25065364E+01
  1018  -0.59022772E+01   0.16516570E-02  -0.24627571E-02   0.16813868E+01  -0.25070867E+01
  1019  -0.59032769E+01   0.16506412E-02  -0.24608788E-02   0.16820034E+01  -0.25076355E+01
  1020  -0.59042737E+01   0.16496258E-02  -0.24590026E-02   0.16826183E+01  -0.25081827E+01
  1021  -0.59052674E+01   0.16486109E-02  -0.24571286E-02   0.16832317E+01  -0.25087283E+01
  1022  -0.59062582E+01   0.16475965E-02  -0.24552567E-02   0.16838436E+01  -0.25092723E+01
