     n         h                l                k               nl               nk
    63  -0.27357965E+01   0.13237092E-01  -0.22373437E-01   0.83393680E+00  -0.14095265E+01
    64  -0.27435916E+01   0.13077458E-01  -0.22050147E-01   0.83695731E+00  -0.14112094E+01
    65  -0.27512366E+01   0.12920935E-01  -0.21735119E-01   0.83986078E+00  -0.14127827E+01
    66  -0.27587397E+01   0.12767451E-01  -0.21428073E-01   0.84265177E+00  -0.14142528E+01
    67  -0.27661083E+01   0.12616936E-01  -0.21128742E-01   0.84533471E+00  -0.14156257E+01
    68  -0.27733496E+01   0.12469319E-01  -0.20836869E-01   0.84791369E+00  -0.14169071E+01
    69  -0.27804703E+01   0.12324532E-01  -0.20552206E-01   0.85039271E+00  -0.14181022E+01
    70  -0.27874767E+01   0.12182508E-01  -0.20274516E-01   0.85277556E+00  -0.14192161E+01
    71  -0.27943748E+01   0.12043181E-01  -0.20003572E-01   0.85506585E+00  -0.14202536E+01
    72  -0.28011702E+01   0.11906487E-01  -0.19739156E-01   0.85726706E+00  -0.14212192E+01
    73  -0.28078682E+01   0.11772362E-01  -0.19481058E-01   0.85938243E+00  -0.14221172E+01
    74  -0.28144738E+01   0.11640746E-01  -0.19229076E-01   0.86141520E+00  -0.14229516E+01
    75  -0.28209918E+01   0.11511578E-01  -0.18983017E-01   0.86336835E+00  -0.14237263E+01
    76  -0.28274266E+01   0.11384799E-01  -0.18742695E-01   0.86524472E+00  -0.14244448E+01
    77  -0.28337824E+01   0.11260352E-01  -0.18507931E-01   0.86704710E+00  -0.14251107E+01
    78  -0.28400633E+01   0.11138183E-01  -0.18278553E-01   0.86877827E+00  -0.14257271E+01
    79  -0.28462730E+01   0.11018236E-01  -0.18054395E-01   0.87044064E+00  -0.14262972E+01
    80  -0.28524152E+01   0.10900460E-01  -0.17835300E-01   0.87203680E+00  -0.14268240E+01
    81  -0.28584932E+01   0.10784802E-01  -0.17621113E-01   0.87356896E+00  -0.14273102E+01
    82  -0.28645103E+01   0.10671213E-01  -0.17411688E-01   0.87503947E+00  -0.14277584E+01
    83  -0.28704696E+01   0.10559645E-01  -0.17206882E-01   0.87645053E+00  -0.14281712E+01
    84  -0.28763739E+01   0.10450051E-01  -0.17006560E-01   0.87780428E+00  -0.14285510E+01
    85  -0.28822260E+01   0.10342384E-01  -0.16810590E-01   0.87910264E+00  -0.14289002E+01
    86  -0.28880285E+01   0.10236599E-01  -0.16618845E-01   0.88034751E+00  -0.14292207E+01
    87  -0.28937839E+01   0.10132655E-01  -0.16431203E-01   0.88154099E+00  -0.14295147E+01
    88  -0.28994945E+01   0.10030508E-01  -0.16247547E-01   0.88268470E+00  -0.14297841E+01
    89  -0.29051627E+01   0.99301169E-02  -0.16067762E-01   0.88378040E+00  -0.14300308E+01
    90  -0.29107905E+01   0.98314429E-02  -0.15891741E-01   0.88482986E+00  -0.14302567E+01
    91  -0.29163799E+01   0.97344467E-02  -0.15719376E-01   0.88583465E+00  -0.14304632E+01
    92  -0.29219330E+01   0.96390907E-02  -0.15550567E-01   0.88679634E+00  -0.14306522E+01
    93  -0.29274514E+01   0.95453383E-02  -0.15385215E-01   0.88771646E+00  -0.14308250E+01
    94  -0.29329370E+01   0.94531538E-02  -0.15223225E-01   0.88859646E+00  -0.14309832E+01
    95  -0.29383913E+01   0.93625026E-02  -0.15064506E-01   0.88943775E+00  -0.14311281E+01
    96  -0.29438161E+01   0.92733509E-02  -0.14908968E-01   0.89024169E+00  -0.14312609E+01
    97  -0.29492127E+01   0.91856660E-02  -0.14756526E-01   0.89100960E+00  -0.14313830E+01
    98  -0.29545826E+01   0.90994159E-02  -0.14607099E-01   0.89174276E+00  -0.14314957E+01
