     n         h                l                k               nl               nk
    63  -0.26146224E+01   0.12802261E-01  -0.22995135E-01   0.80654244E+00  -0.14486935E+01
    64  -0.26205994E+01   0.12648395E-01  -0.22670091E-01   0.80949728E+00  -0.14508858E+01
    65  -0.26264277E+01   0.12497660E-01  -0.22353231E-01   0.81234790E+00  -0.14529600E+01
    66  -0.26321156E+01   0.12349980E-01  -0.22044281E-01   0.81509868E+00  -0.14549225E+01
    67  -0.26376704E+01   0.12205280E-01  -0.21742974E-01   0.81775376E+00  -0.14567793E+01
    68  -0.26430993E+01   0.12063485E-01  -0.21449058E-01   0.82031698E+00  -0.14585359E+01
    69  -0.26484089E+01   0.11924522E-01  -0.21162287E-01   0.82279202E+00  -0.14601978E+01
    70  -0.26536054E+01   0.11788322E-01  -0.20882429E-01   0.82518254E+00  -0.14617700E+01
    71  -0.26586949E+01   0.11654815E-01  -0.20609258E-01   0.82749187E+00  -0.14632573E+01
    72  -0.26636828E+01   0.11523932E-01  -0.20342559E-01   0.82972310E+00  -0.14646642E+01
    73  -0.26685744E+01   0.11395609E-01  -0.20082124E-01   0.83187946E+00  -0.14659951E+01
    74  -0.26733747E+01   0.11269779E-01  -0.19827755E-01   0.83396365E+00  -0.14672539E+01
    75  -0.26780883E+01   0.11146382E-01  -0.19579259E-01   0.83597865E+00  -0.14684444E+01
    76  -0.26827198E+01   0.11025356E-01  -0.19336453E-01   0.83792706E+00  -0.14695704E+01
    77  -0.26872732E+01   0.10906640E-01  -0.19099160E-01   0.83981128E+00  -0.14706353E+01
    78  -0.26917526E+01   0.10790178E-01  -0.18867211E-01   0.84163388E+00  -0.14716425E+01
    79  -0.26961617E+01   0.10675914E-01  -0.18640442E-01   0.84339721E+00  -0.14725949E+01
    80  -0.27005041E+01   0.10563792E-01  -0.18418695E-01   0.84510336E+00  -0.14734956E+01
    81  -0.27047831E+01   0.10453759E-01  -0.18201820E-01   0.84675448E+00  -0.14743474E+01
    82  -0.27090020E+01   0.10345765E-01  -0.17989671E-01   0.84835273E+00  -0.14751530E+01
    83  -0.27131637E+01   0.10239759E-01  -0.17782107E-01   0.84990000E+00  -0.14759149E+01
    84  -0.27172711E+01   0.10135692E-01  -0.17578994E-01   0.85139813E+00  -0.14766355E+01
    85  -0.27213269E+01   0.10033517E-01  -0.17380202E-01   0.85284895E+00  -0.14773172E+01
    86  -0.27253338E+01   0.99331883E-02  -0.17185605E-01   0.85425419E+00  -0.14779620E+01
    87  -0.27292942E+01   0.98346612E-02  -0.16995084E-01   0.85561552E+00  -0.14785723E+01
    88  -0.27332104E+01   0.97378924E-02  -0.16808520E-01   0.85693453E+00  -0.14791498E+01
    89  -0.27370846E+01   0.96428400E-02  -0.16625803E-01   0.85821276E+00  -0.14796965E+01
    90  -0.27409190E+01   0.95494631E-02  -0.16446825E-01   0.85945168E+00  -0.14802143E+01
    91  -0.27447155E+01   0.94577220E-02  -0.16271479E-01   0.86065270E+00  -0.14807046E+01
    92  -0.27484760E+01   0.93675784E-02  -0.16099667E-01   0.86181721E+00  -0.14811694E+01
    93  -0.27522024E+01   0.92789947E-02  -0.15931291E-01   0.86294651E+00  -0.14816101E+01
    94  -0.27558963E+01   0.91919345E-02  -0.15766256E-01   0.86404184E+00  -0.14820281E+01
    95  -0.27595594E+01   0.91063627E-02  -0.15604473E-01   0.86510446E+00  -0.14824249E+01
    96  -0.27631932E+01   0.90222449E-02  -0.15445853E-01   0.86613551E+00  -0.14828019E+01
    97  -0.27667993E+01   0.89395477E-02  -0.15290313E-01   0.86713613E+00  -0.14831604E+01
    98  -0.27703789E+01   0.88582387E-02  -0.15137769E-01   0.86810739E+00  -0.14835014E+01
    99  -0.27739335E+01   0.87782864E-02  -0.14988144E-01   0.86905035E+00  -0.14838263E+01
   100  -0.27774644E+01   0.86996602E-02  -0.14841360E-01   0.86996602E+00  -0.14841360E+01
   101  -0.27809726E+01   0.86223302E-02  -0.14697344E-01   0.87085535E+00  -0.14844317E+01
   102  -0.27844595E+01   0.85462675E-02  -0.14556025E-01   0.87171928E+00  -0.14847146E+01
   103  -0.27879260E+01   0.84714440E-02  -0.14417332E-01   0.87255873E+00  -0.14849852E+01
   104  -0.27913732E+01   0.83978322E-02  -0.14281200E-01   0.87337455E+00  -0.14852448E+01
   105  -0.27948022E+01   0.83254054E-02  -0.14147562E-01   0.87416757E+00  -0.14854940E+01
   106  -0.27982138E+01   0.82541376E-02  -0.14016357E-01   0.87493859E+00  -0.14857338E+01
   107  -0.28016089E+01   0.81840038E-02  -0.13887524E-01   0.87568841E+00  -0.14859651E+01
   108  -0.28049884E+01   0.81149791E-02  -0.13761004E-01   0.87641774E+00  -0.14861884E+01
   109  -0.28083532E+01   0.80470398E-02  -0.13636739E-01   0.87712734E+00  -0.14864046E+01
   110  -0.28117039E+01   0.79801626E-02  -0.13514674E-01   0.87781789E+00  -0.14866141E+01
   111  -0.28150413E+01   0.79143247E-02  -0.13394757E-01   0.87849004E+00  -0.14868180E+01
   112  -0.28183661E+01   0.78495041E-02  -0.13276934E-01   0.87914446E+00  -0.14870166E+01
   113  -0.28216790E+01   0.77856792E-02  -0.13161155E-01   0.87978175E+00  -0.14872105E+01
   114  -0.28249806E+01   0.77228291E-02  -0.13047372E-01   0.88040252E+00  -0.14874004E+01
   115  -0.28282715E+01   0.76609335E-02  -0.12935537E-01   0.88100735E+00  -0.14875868E+01
   116  -0.28315523E+01   0.75999723E-02  -0.12825604E-01   0.88159679E+00  -0.14877701E+01
   117  -0.28348235E+01   0.75399264E-02  -0.12717528E-01   0.88217139E+00  -0.14879508E+01
   118  -0.28380856E+01   0.74807766E-02  -0.12611267E-01   0.88273164E+00  -0.14881295E+01
   119  -0.28413392E+01   0.74225048E-02  -0.12506777E-01   0.88327807E+00  -0.14883065E+01
   120  -0.28445847E+01   0.73650929E-02  -0.12404019E-01   0.88381115E+00  -0.14884823E+01
   121  -0.28478224E+01   0.73085234E-02  -0.12302953E-01   0.88433133E+00  -0.14886573E+01
   122  -0.28510530E+01   0.72527793E-02  -0.12203539E-01   0.88483907E+00  -0.14888318E+01
   123  -0.28542767E+01   0.71978440E-02  -0.12105741E-01   0.88533481E+00  -0.14890061E+01
   124  -0.28574939E+01   0.71437013E-02  -0.12009522E-01   0.88581896E+00  -0.14891807E+01
   125  -0.28607050E+01   0.70903354E-02  -0.11914848E-01   0.88629192E+00  -0.14893560E+01
   126  -0.28639104E+01   0.70377308E-02  -0.11821683E-01   0.88675408E+00  -0.14895321E+01
   127  -0.28671103E+01   0.69858726E-02  -0.11729994E-01   0.88720582E+00  -0.14897092E+01
   128  -0.28703051E+01   0.69347460E-02  -0.11639749E-01   0.88764749E+00  -0.14898879E+01
   129  -0.28734951E+01   0.68843368E-02  -0.11550916E-01   0.88807945E+00  -0.14900682E+01
   130  -0.28766805E+01   0.68346310E-02  -0.11463465E-01   0.88850203E+00  -0.14902505E+01
   131  -0.28798616E+01   0.67856150E-02  -0.11377365E-01   0.88891557E+00  -0.14904348E+01
   132  -0.28830387E+01   0.67372754E-02  -0.11292589E-01   0.88932035E+00  -0.14906217E+01
   133  -0.28862120E+01   0.66895994E-02  -0.11209106E-01   0.88971672E+00  -0.14908111E+01
   134  -0.28893817E+01   0.66425742E-02  -0.11126891E-01   0.89010494E+00  -0.14910034E+01
   135  -0.28925480E+01   0.65961875E-02  -0.11045916E-01   0.89048531E+00  -0.14911987E+01
   136  -0.28957112E+01   0.65504273E-02  -0.10966155E-01   0.89085811E+00  -0.14913971E+01
   137  -0.28988715E+01   0.65052816E-02  -0.10887583E-01   0.89122358E+00  -0.14915989E+01
   138  -0.29020289E+01   0.64607392E-02  -0.10810175E-01   0.89158201E+00  -0.14918042E+01
   139  -0.29051837E+01   0.64167886E-02  -0.10733907E-01   0.89193362E+00  -0.14920131E+01
   140  -0.29083361E+01   0.63734190E-02  -0.10658756E-01   0.89227866E+00  -0.14922258E+01
   141  -0.29114862E+01   0.63306196E-02  -0.10584698E-01   0.89261736E+00  -0.14924424E+01
   142  -0.29146342E+01   0.62883800E-02  -0.10511713E-01   0.89294996E+00  -0.14926632E+01
   143  -0.29177801E+01   0.62466900E-02  -0.10439777E-01   0.89327667E+00  -0.14928881E+01
   144  -0.29209242E+01   0.62055395E-02  -0.10368871E-01   0.89359769E+00  -0.14931174E+01
   145  -0.29240665E+01   0.61649189E-02  -0.10298973E-01   0.89391324E+00  -0.14933511E+01
