# LOVE_NUMBERS  Format of 2005.01.10
# degree h                 l                 k
#
     0  0.0000000000D+00  0.0000000000D+00  0.0000000000D+00
    90 -0.2911894687D+01  0.9863518919D-02 -0.1624886478D-01
    91 -0.2917486512D+01  0.9766206829D-02 -0.1607705911D-01
    92 -0.2923042145D+01  0.9670544154D-02 -0.1590880688D-01
    93 -0.2928563403D+01  0.9576493847D-02 -0.1574400976D-01
    94 -0.2934052041D+01  0.9484020422D-02 -0.1558257306D-01
    95 -0.2939509674D+01  0.9393088348D-02 -0.1542440486D-01
    96 -0.2944937877D+01  0.9303663815D-02 -0.1526941673D-01
    97 -0.2950338132D+01  0.9215713663D-02 -0.1511752309D-01
    98 -0.2955711880D+01  0.9129206080D-02 -0.1496864146D-01
    99 -0.2961060436D+01  0.9044109286D-02 -0.1482269168D-01
   100 -0.2966385090D+01  0.8960392953D-02 -0.1467959656D-01
   101 -0.2971687056D+01  0.8878027359D-02 -0.1453928135D-01
   102 -0.2976967512D+01  0.8796983926D-02 -0.1440167387D-01
   103 -0.2982227536D+01  0.8717234166D-02 -0.1426670401D-01
   104 -0.2987468183D+01  0.8638750834D-02 -0.1413430411D-01
   105 -0.2992690446D+01  0.8561507221D-02 -0.1400440861D-01
   106 -0.2997895290D+01  0.8485477618D-02 -0.1387695416D-01
   107 -0.3003083596D+01  0.8410636429D-02 -0.1375187918D-01
   108 -0.3008256228D+01  0.8336959123D-02 -0.1362912416D-01
   109 -0.3013413998D+01  0.8264421657D-02 -0.1350863142D-01
   110 -0.3018557697D+01  0.8193000847D-02 -0.1339034516D-01
   111 -0.3023688044D+01  0.8122673654D-02 -0.1327421107D-01
   112 -0.3028805745D+01  0.8053417940D-02 -0.1316017669D-01
   113 -0.3033911465D+01  0.7985212023D-02 -0.1304819106D-01
   114 -0.3039005849D+01  0.7918034962D-02 -0.1293820488D-01
   115 -0.3044089483D+01  0.7851865965D-02 -0.1283017014D-01
   116 -0.3049162947D+01  0.7786685030D-02 -0.1272404038D-01
   117 -0.3054226779D+01  0.7722472561D-02 -0.1261977050D-01
   118 -0.3059281508D+01  0.7659209600D-02 -0.1251731678D-01
   119 -0.3064327612D+01  0.7596877360D-02 -0.1241663664D-01
   120 -0.3069365560D+01  0.7535457730D-02 -0.1231768886D-01
   121 -0.3074395793D+01  0.7474932965D-02 -0.1222043336D-01
   122 -0.3079418737D+01  0.7415285853D-02 -0.1212483127D-01
   123 -0.3084434789D+01  0.7356499475D-02 -0.1203084476D-01
   124 -0.3089444323D+01  0.7298557315D-02 -0.1193843710D-01
   125 -0.3094447698D+01  0.7241443299D-02 -0.1184757260D-01
   126 -0.3099445739D+01  0.7185146204D-02 -0.1175821983D-01
   127 -0.3104437859D+01  0.7129642332D-02 -0.1167033892D-01
   128 -0.3109424785D+01  0.7074920548D-02 -0.1158389997D-01
   129 -0.3114406817D+01  0.7020966373D-02 -0.1149887118D-01
   130 -0.3119384228D+01  0.6967765508D-02 -0.1141522155D-01
   131 -0.3124357299D+01  0.6915304295D-02 -0.1133292103D-01
   132 -0.3129326253D+01  0.6863568795D-02 -0.1125194019D-01
   133 -0.3134291331D+01  0.6812545840D-02 -0.1117225053D-01
   134 -0.3139252753D+01  0.6762222409D-02 -0.1109382428D-01
   135 -0.3144210746D+01  0.6712586050D-02 -0.1101663454D-01
   136 -0.3149165487D+01  0.6663624094D-02 -0.1094065488D-01
   137 -0.3154117170D+01  0.6615324536D-02 -0.1086585976D-01
   138 -0.3159065971D+01  0.6567675499D-02 -0.1079222424D-01
   139 -0.3164012071D+01  0.6520665630D-02 -0.1071972412D-01
   140 -0.3168955611D+01  0.6474283384D-02 -0.1064833570D-01
   141 -0.3173896746D+01  0.6428517798D-02 -0.1057803597D-01
   142 -0.3178835615D+01  0.6383358046D-02 -0.1050880250D-01
   143 -0.3183772364D+01  0.6338793732D-02 -0.1044061352D-01
   144 -0.3188707103D+01  0.6294814330D-02 -0.1037344765D-01
   145 -0.3193639953D+01  0.6251409824D-02 -0.1030728418D-01
   146 -0.3198571025D+01  0.6208570313D-02 -0.1024210288D-01
   147 -0.3203500433D+01  0.6166286280D-02 -0.1017788410D-01
   148 -0.3208428262D+01  0.6124548124D-02 -0.1011460854D-01
   149 -0.3213354609D+01  0.6083346658D-02 -0.1005225749D-01
   150 -0.3218279559D+01  0.6042672825D-02 -0.9990812687D-02
   151 -0.3223203202D+01  0.6002517899D-02 -0.9930256346D-02
   152 -0.3228125600D+01  0.5962873105D-02 -0.9870571027D-02
   153 -0.3233046832D+01  0.5923730002D-02 -0.9811739803D-02
   154 -0.3237966958D+01  0.5885080308D-02 -0.9753746115D-02
   155 -0.3242886050D+01  0.5846916012D-02 -0.9696573861D-02
   156 -0.3247804156D+01  0.5809229052D-02 -0.9640207245D-02
   157 -0.3252721331D+01  0.5772011708D-02 -0.9584630905D-02
   158 -0.3257637624D+01  0.5735256354D-02 -0.9529829829D-02
   159 -0.3262553244D+01  0.5698956790D-02 -0.9475790189D-02
   160 -0.3267467917D+01  0.5663103346D-02 -0.9422496073D-02
   161 -0.3272381835D+01  0.5627690037D-02 -0.9369934305D-02
   162 -0.3277295035D+01  0.5592709852D-02 -0.9318091242D-02
   163 -0.3282207554D+01  0.5558156029D-02 -0.9266953580D-02
   164 -0.3287119415D+01  0.5524021765D-02 -0.9216508278D-02
   165 -0.3292030647D+01  0.5490300524D-02 -0.9166742633D-02
   166 -0.3296941273D+01  0.5456985862D-02 -0.9117644217D-02
   167 -0.3301851314D+01  0.5424071432D-02 -0.9069200890D-02
   168 -0.3306760804D+01  0.5391551244D-02 -0.9021400853D-02
   169 -0.3311669742D+01  0.5359419009D-02 -0.8974232435D-02
   170 -0.3316578148D+01  0.5327668875D-02 -0.8927684326D-02
   171 -0.3321486032D+01  0.5296294993D-02 -0.8881745447D-02
   172 -0.3326393422D+01  0.5265291805D-02 -0.8836405029D-02
   173 -0.3331300520D+01  0.5234654991D-02 -0.8791653407D-02
   174 -0.3336207644D+01  0.5204381204D-02 -0.8747481667D-02
   175 -0.3341113629D+01  0.5174457028D-02 -0.8703874181D-02
   176 -0.3346019149D+01  0.5144881857D-02 -0.8660824198D-02
   177 -0.3350924191D+01  0.5115650366D-02 -0.8618321971D-02
   178 -0.3355828764D+01  0.5086757522D-02 -0.8576358051D-02
   179 -0.3360732862D+01  0.5058198354D-02 -0.8534923154D-02
   180 -0.3365636499D+01  0.5029968080D-02 -0.8494008256D-02
   181 -0.3370539656D+01  0.5002061797D-02 -0.8453604422D-02
   182 -0.3375442336D+01  0.4974474833D-02 -0.8413702992D-02
   183 -0.3380344530D+01  0.4947202580D-02 -0.8374295452D-02
   184 -0.3385246241D+01  0.4920240618D-02 -0.8335373508D-02
   185 -0.3390147452D+01  0.4893584382D-02 -0.8296928978D-02
   186 -0.3395048158D+01  0.4867229563D-02 -0.8258953895D-02
   187 -0.3399948348D+01  0.4841171868D-02 -0.8221440446D-02
   188 -0.3404848021D+01  0.4815407184D-02 -0.8184381010D-02
   189 -0.3409747153D+01  0.4789931296D-02 -0.8147768058D-02
   190 -0.3414645740D+01  0.4764740184D-02 -0.8111594272D-02
   191 -0.3419543764D+01  0.4739829870D-02 -0.8075852456D-02
   192 -0.3424441221D+01  0.4715196520D-02 -0.8040535598D-02
   193 -0.3429338088D+01  0.4690836217D-02 -0.8005636771D-02
   194 -0.3434234352D+01  0.4666745233D-02 -0.7971149225D-02
   195 -0.3439129995D+01  0.4642919861D-02 -0.7937066335D-02
   196 -0.3444025009D+01  0.4619356521D-02 -0.7903381636D-02
   197 -0.3448919371D+01  0.4596051565D-02 -0.7870088750D-02
   198 -0.3453813064D+01  0.4573001531D-02 -0.7837181442D-02
   199 -0.3458706066D+01  0.4550202968D-02 -0.7804653597D-02
   200 -0.3463598369D+01  0.4527652519D-02 -0.7772499254D-02
   201 -0.3468489946D+01  0.4505346810D-02 -0.7740712516D-02
   202 -0.3473380779D+01  0.4483282582D-02 -0.7709287634D-02
   203 -0.3478270847D+01  0.4461456622D-02 -0.7678218959D-02
   204 -0.3483160133D+01  0.4439865807D-02 -0.7647500968D-02
   205 -0.3488048612D+01  0.4418506984D-02 -0.7617128214D-02
   206 -0.3492936263D+01  0.4397377111D-02 -0.7587095379D-02
   207 -0.3497823067D+01  0.4376473173D-02 -0.7557397242D-02
   208 -0.3502708995D+01  0.4355792214D-02 -0.7528028665D-02
   209 -0.3507594040D+01  0.4335331416D-02 -0.7498984668D-02
   210 -0.3512478162D+01  0.4315087810D-02 -0.7470260263D-02
   211 -0.3517361345D+01  0.4295058607D-02 -0.7441850636D-02
   212 -0.3522243562D+01  0.4275241043D-02 -0.7413751027D-02
   213 -0.3527124799D+01  0.4255632487D-02 -0.7385956807D-02
   214 -0.3532005020D+01  0.4236230143D-02 -0.7358463369D-02
   215 -0.3536884206D+01  0.4217031417D-02 -0.7331266234D-02
   216 -0.3541762329D+01  0.4198033709D-02 -0.7304360991D-02
   217 -0.3546639373D+01  0.4179234542D-02 -0.7277743343D-02
   218 -0.3551515301D+01  0.4160631318D-02 -0.7251409005D-02
   219 -0.3556390096D+01  0.4142221576D-02 -0.7225353835D-02
   220 -0.3561263723D+01  0.4124002907D-02 -0.7199573711D-02
   221 -0.3566136170D+01  0.4105972958D-02 -0.7174064656D-02
   222 -0.3571007398D+01  0.4088129303D-02 -0.7148822685D-02
   223 -0.3575877387D+01  0.4070469639D-02 -0.7123843938D-02
   224 -0.3580747513D+01  0.4052999127D-02 -0.7099129566D-02
   225 -0.3585615132D+01  0.4035701623D-02 -0.7074666551D-02
   226 -0.3590481365D+01  0.4018581041D-02 -0.7050455306D-02
   227 -0.3595346263D+01  0.4001635560D-02 -0.7026492490D-02
   228 -0.3600209792D+01  0.3984863047D-02 -0.7002774540D-02
   229 -0.3605071936D+01  0.3968261417D-02 -0.6979298005D-02
   230 -0.3609932657D+01  0.3951828544D-02 -0.6956059431D-02
   231 -0.3614791931D+01  0.3935562390D-02 -0.6933055469D-02
   232 -0.3619649732D+01  0.3919460926D-02 -0.6910282814D-02
   233 -0.3624506035D+01  0.3903522209D-02 -0.6887738228D-02
   234 -0.3629360805D+01  0.3887744227D-02 -0.6865418504D-02
   235 -0.3634214026D+01  0.3872125043D-02 -0.6843320529D-02
   236 -0.3639065656D+01  0.3856662781D-02 -0.6821441187D-02
   237 -0.3643915683D+01  0.3841355568D-02 -0.6799777491D-02
   238 -0.3648764066D+01  0.3826201536D-02 -0.6778326425D-02
   239 -0.3653610782D+01  0.3811198868D-02 -0.6757085071D-02
   240 -0.3658455800D+01  0.3796345763D-02 -0.6736050549D-02
   241 -0.3663299103D+01  0.3781640469D-02 -0.6715220049D-02
   242 -0.3668140651D+01  0.3767081216D-02 -0.6694590762D-02
   243 -0.3672980417D+01  0.3752666299D-02 -0.6674159952D-02
   244 -0.3677818461D+01  0.3738394413D-02 -0.6653925199D-02
   245 -0.3682654761D+01  0.3724263943D-02 -0.6633883871D-02
   246 -0.3687489030D+01  0.3710271978D-02 -0.6614032563D-02
   247 -0.3692321405D+01  0.3696417705D-02 -0.6594369232D-02
   248 -0.3697151858D+01  0.3682699513D-02 -0.6574891356D-02
   249 -0.3701980361D+01  0.3669115830D-02 -0.6555596461D-02
   250 -0.3706806936D+01  0.3655665322D-02 -0.6536482218D-02
   251 -0.3711631455D+01  0.3642345998D-02 -0.6517546015D-02
   252 -0.3716453939D+01  0.3629156559D-02 -0.6498785614D-02
   253 -0.3721274358D+01  0.3616095501D-02 -0.6480198683D-02
   254 -0.3726092689D+01  0.3603161412D-02 -0.6461782835D-02
   255 -0.3730908892D+01  0.3590352763D-02 -0.6443535971D-02
   256 -0.3735722950D+01  0.3577668129D-02 -0.6425455846D-02
   257 -0.3740534821D+01  0.3565106108D-02 -0.6407540263D-02
   258 -0.3745344490D+01  0.3552665333D-02 -0.6389786969D-02
   259 -0.3750151923D+01  0.3540344361D-02 -0.6372194033D-02
   260 -0.3754957088D+01  0.3528141865D-02 -0.6354759310D-02
   261 -0.3759759956D+01  0.3516056491D-02 -0.6337480778D-02
   262 -0.3764560505D+01  0.3504086957D-02 -0.6320356275D-02
   263 -0.3769358699D+01  0.3492231903D-02 -0.6303384010D-02
   264 -0.3774154515D+01  0.3480490047D-02 -0.6286561980D-02
   265 -0.3778947920D+01  0.3468860115D-02 -0.6269888285D-02
   266 -0.3783738888D+01  0.3457340896D-02 -0.6253360871D-02
   267 -0.3788527389D+01  0.3445931088D-02 -0.6236978078D-02
   268 -0.3793313390D+01  0.3434629499D-02 -0.6220737994D-02
   269 -0.3798096866D+01  0.3423434902D-02 -0.6204638851D-02
   270 -0.3802877791D+01  0.3412346138D-02 -0.6188678733D-02
   271 -0.3807656137D+01  0.3401361981D-02 -0.6172856062D-02
   272 -0.3812431870D+01  0.3390481295D-02 -0.6157169047D-02
   273 -0.3817204958D+01  0.3379702926D-02 -0.6141616004D-02
   274 -0.3821975383D+01  0.3369025761D-02 -0.6126195168D-02
   275 -0.3826743110D+01  0.3358448646D-02 -0.6110905001D-02
   276 -0.3831508110D+01  0.3347970491D-02 -0.6095743854D-02
   277 -0.3836271873D+01  0.3337596579D-02 -0.6080714363D-02
   278 -0.3841032150D+01  0.3327316457D-02 -0.6065808661D-02
   279 -0.3845788986D+01  0.3317129435D-02 -0.6051025499D-02
   280 -0.3850542997D+01  0.3307037131D-02 -0.6036365150D-02
