     n         h                l                k               nl               nk
    63  -0.27322800E+01   0.12872413E-01  -0.22957376E-01   0.81096202E+00  -0.14463147E+01
    64  -0.27400962E+01   0.12718190E-01  -0.22632346E-01   0.81396416E+00  -0.14484701E+01
    65  -0.27477641E+01   0.12567093E-01  -0.22315511E-01   0.81686105E+00  -0.14505082E+01
    66  -0.27552915E+01   0.12419045E-01  -0.22006596E-01   0.81965697E+00  -0.14524353E+01
    67  -0.27626860E+01   0.12273972E-01  -0.21705336E-01   0.82235612E+00  -0.14542575E+01
    68  -0.27699546E+01   0.12131800E-01  -0.21411476E-01   0.82496240E+00  -0.14559804E+01
    69  -0.27771041E+01   0.11992457E-01  -0.21124772E-01   0.82747953E+00  -0.14576093E+01
    70  -0.27841406E+01   0.11855873E-01  -0.20844989E-01   0.82991111E+00  -0.14591492E+01
    71  -0.27910701E+01   0.11721978E-01  -0.20571903E-01   0.83226044E+00  -0.14606051E+01
    72  -0.27978982E+01   0.11590706E-01  -0.20305296E-01   0.83453083E+00  -0.14619813E+01
    73  -0.28046302E+01   0.11461990E-01  -0.20044962E-01   0.83672527E+00  -0.14632822E+01
    74  -0.28112709E+01   0.11335767E-01  -0.19790701E-01   0.83884676E+00  -0.14645119E+01
    75  -0.28178251E+01   0.11211974E-01  -0.19542321E-01   0.84089805E+00  -0.14656741E+01
    76  -0.28242972E+01   0.11090550E-01  -0.19299638E-01   0.84288180E+00  -0.14667725E+01
    77  -0.28306914E+01   0.10971437E-01  -0.19062475E-01   0.84480065E+00  -0.14678106E+01
    78  -0.28370117E+01   0.10854576E-01  -0.18830662E-01   0.84665693E+00  -0.14687916E+01
    79  -0.28432618E+01   0.10739912E-01  -0.18604036E-01   0.84845305E+00  -0.14697188E+01
    80  -0.28494453E+01   0.10627390E-01  -0.18382437E-01   0.85019120E+00  -0.14705950E+01
    81  -0.28555655E+01   0.10516958E-01  -0.18165717E-01   0.85187360E+00  -0.14714231E+01
    82  -0.28616257E+01   0.10408564E-01  -0.17953727E-01   0.85350225E+00  -0.14722056E+01
    83  -0.28676288E+01   0.10302158E-01  -0.17746328E-01   0.85507911E+00  -0.14729452E+01
    84  -0.28735778E+01   0.10197691E-01  -0.17543386E-01   0.85660604E+00  -0.14736444E+01
    85  -0.28794753E+01   0.10095118E-01  -0.17344768E-01   0.85808503E+00  -0.14743053E+01
    86  -0.28853240E+01   0.99943907E-02  -0.17150351E-01   0.85951760E+00  -0.14749302E+01
    87  -0.28911263E+01   0.98954664E-02  -0.16960013E-01   0.86090558E+00  -0.14755211E+01
    88  -0.28968845E+01   0.97983015E-02  -0.16773638E-01   0.86225053E+00  -0.14760801E+01
    89  -0.29026008E+01   0.97028540E-02  -0.16591113E-01   0.86355401E+00  -0.14766091E+01
    90  -0.29082774E+01   0.96090832E-02  -0.16412330E-01   0.86481749E+00  -0.14771097E+01
    91  -0.29139162E+01   0.95169497E-02  -0.16237185E-01   0.86604242E+00  -0.14775838E+01
    92  -0.29195191E+01   0.94264150E-02  -0.16065575E-01   0.86723018E+00  -0.14780329E+01
    93  -0.29250880E+01   0.93374418E-02  -0.15897405E-01   0.86838209E+00  -0.14784587E+01
    94  -0.29306245E+01   0.92499939E-02  -0.15732580E-01   0.86949943E+00  -0.14788625E+01
    95  -0.29361303E+01   0.91640359E-02  -0.15571010E-01   0.87058341E+00  -0.14792459E+01
    96  -0.29416070E+01   0.90795338E-02  -0.15412605E-01   0.87163524E+00  -0.14796101E+01
    97  -0.29470559E+01   0.89964541E-02  -0.15257283E-01   0.87265605E+00  -0.14799565E+01
    98  -0.29524786E+01   0.89147646E-02  -0.15104960E-01   0.87364693E+00  -0.14802861E+01
    99  -0.29578763E+01   0.88344337E-02  -0.14955558E-01   0.87460894E+00  -0.14806002E+01
   100  -0.29632503E+01   0.87554310E-02  -0.14809000E-01   0.87554310E+00  -0.14809000E+01
   101  -0.29686018E+01   0.86777267E-02  -0.14665212E-01   0.87645040E+00  -0.14811864E+01
   102  -0.29739320E+01   0.86012918E-02  -0.14524123E-01   0.87733176E+00  -0.14814605E+01
   103  -0.29792420E+01   0.85260983E-02  -0.14385662E-01   0.87818812E+00  -0.14817232E+01
   104  -0.29845328E+01   0.84521186E-02  -0.14249764E-01   0.87902033E+00  -0.14819755E+01
   105  -0.29898053E+01   0.83793264E-02  -0.14116362E-01   0.87982927E+00  -0.14822180E+01
   106  -0.29950606E+01   0.83076955E-02  -0.13985395E-01   0.88061572E+00  -0.14824519E+01
   107  -0.30002995E+01   0.82372007E-02  -0.13856801E-01   0.88138047E+00  -0.14826777E+01
   108  -0.30055229E+01   0.81678177E-02  -0.13730521E-01   0.88212431E+00  -0.14828963E+01
   109  -0.30107315E+01   0.80995223E-02  -0.13606499E-01   0.88284793E+00  -0.14831084E+01
   110  -0.30159262E+01   0.80322914E-02  -0.13484678E-01   0.88355205E+00  -0.14833146E+01
   111  -0.30211077E+01   0.79661023E-02  -0.13365005E-01   0.88423736E+00  -0.14835156E+01
   112  -0.30262766E+01   0.79009330E-02  -0.13247428E-01   0.88490450E+00  -0.14837119E+01
   113  -0.30314337E+01   0.78367619E-02  -0.13131896E-01   0.88555409E+00  -0.14839042E+01
   114  -0.30365796E+01   0.77735681E-02  -0.13018361E-01   0.88618676E+00  -0.14840932E+01
   115  -0.30417148E+01   0.77113312E-02  -0.12906775E-01   0.88680309E+00  -0.14842791E+01
   116  -0.30468400E+01   0.76500313E-02  -0.12797093E-01   0.88740363E+00  -0.14844628E+01
   117  -0.30519556E+01   0.75896492E-02  -0.12689268E-01   0.88798896E+00  -0.14846444E+01
   118  -0.30570622E+01   0.75301658E-02  -0.12583258E-01   0.88855956E+00  -0.14848244E+01
   119  -0.30621604E+01   0.74715628E-02  -0.12479022E-01   0.88911597E+00  -0.14850036E+01
   120  -0.30672504E+01   0.74138224E-02  -0.12376517E-01   0.88965869E+00  -0.14851820E+01
   121  -0.30723329E+01   0.73569269E-02  -0.12275704E-01   0.89018815E+00  -0.14853602E+01
   122  -0.30774081E+01   0.73008593E-02  -0.12176545E-01   0.89070483E+00  -0.14855385E+01
   123  -0.30824766E+01   0.72456032E-02  -0.12079002E-01   0.89120919E+00  -0.14857172E+01
   124  -0.30875386E+01   0.71911421E-02  -0.11983039E-01   0.89170162E+00  -0.14858968E+01
   125  -0.30925946E+01   0.71374604E-02  -0.11888620E-01   0.89218255E+00  -0.14860775E+01
   126  -0.30976449E+01   0.70845426E-02  -0.11795711E-01   0.89265237E+00  -0.14862596E+01
